Region,Country,Year,Age,Gender,Literacy rate
Central and Southern Asia,Bangladesh,2016,15-24,male,0.9090535
Central and Southern Asia,Bangladesh,2016,25-64,female,0.6415069
Central and Southern Asia,Bangladesh,2016,25-64,male,0.7201342
Central and Southern Asia,Bangladesh,2016,65+,female,0.250229
Central and Southern Asia,Bangladesh,2016,65+,male,0.5244415
Central and Southern Asia,Bangladesh,2017,<15,female,0.700857
Central and Southern Asia,Bangladesh,2017,<15,male,0.7570236
Central and Southern Asia,Bangladesh,2017,15-24,female,0.9437776
Central and Southern Asia,Bangladesh,2017,15-24,male,0.9154129
Central and Southern Asia,Bangladesh,2017,25-64,female,0.6501462
Central and Southern Asia,Bangladesh,2017,25-64,male,0.7207033
Central and Southern Asia,Bangladesh,2017,65+,female,0.2716705
Central and Southern Asia,Bangladesh,2017,65+,male,0.5108921
Central and Southern Asia,Bangladesh,2018,<15,female,0.7118194
Central and Southern Asia,Bangladesh,2018,<15,male,0.7666926
Central and Southern Asia,Bangladesh,2018,15-24,female,0.9491259
Central and Southern Asia,Bangladesh,2018,15-24,male,0.9180372
Central and Southern Asia,Bangladesh,2018,25-64,female,0.6682163
Central and Southern Asia,Bangladesh,2018,25-64,male,0.7283193
Central and Southern Asia,Bangladesh,2018,65+,female,0.2676439
Central and Southern Asia,Bangladesh,2018,65+,male,0.530741
Central and Southern Asia,Bhutan,2012,<15,female,0.4801656
Central and Southern Asia,Bhutan,2012,<15,male,0.6600306
Central and Southern Asia,Bhutan,2012,15-24,female,0.8448774
Central and Southern Asia,Bhutan,2012,15-24,male,0.9039581
Central and Southern Asia,Bhutan,2012,25-64,female,0.3561217
Central and Southern Asia,Bhutan,2012,25-64,male,0.6149388
Central and Southern Asia,Bhutan,2012,65+,F,0.0386781
Central and Southern Asia,Bhutan,2012,65+,male,0.2428077
Central and Southern Asia,Bhutan,2017,<15,female,0.5708362
Central and Southern Asia,Bhutan,2017,<15,male,0.7501985
Central and Southern Asia,Bhutan,2017,15-24,female,0.9289112
Central and Southern Asia,Bhutan,2017,15-24,male,0.9327016
Central and Southern Asia,Bhutan,2017,25-64,female,0.4842457
Central and Southern Asia,Bhutan,2017,25-64,male,0.7219546
Central and Southern Asia,Bhutan,2017,65+,female,0.0940589
Central and Southern Asia,Bhutan,2017,65+,male,0.3596825
Central and Southern Asia,India,2011,<15,female,0.5927732
Central and Southern Asia,India,2011,<15,male,0.7887723
Central and Southern Asia,India,2011,15-24,female,0.8184981
Central and Southern Asia,India,2011,15-24,male,0.9004483
Central and Southern Asia,India,2011,25-64,female,0.5399607
Central and Southern Asia,India,2011,25-64,male,0.7647395
Central and Southern Asia,India,2011,65+,female,0.2669628
Central and Southern Asia,India,2011,65+,male,0.5717637
Central and Southern Asia,India,2018,<15,female,0.6579081
Central and Southern Asia,India,2018,<15,male,0.8236671
Central and Southern Asia,India,2018,15-24,female,0.9016941
Central and Southern Asia,India,2018,15-24,male,0.9299297
Central and Southern Asia,India,2018,25-64,female,0.6172655
Central and Southern Asia,India,2018,25-64,male,0.8073892
Central and Southern Asia,India,2018,65+,female,0.3028636
Central and Southern Asia,India,2018,65+,male,0.6167023
Central and Southern Asia,Iran (Islamic Republic of),2012,<15,female,0.7841627
Central and Southern Asia,Iran (Islamic Republic of),2012,<15,male,0.8887982
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,female,0.9766179
Central and Southern Asia,Iran (Islamic Republic of),2012,15-24,male,0.9833392
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,female,0.7834703
Central and Southern Asia,Iran (Islamic Republic of),2012,25-64,male,0.9016577
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,female,0.2064465
Central and Southern Asia,Iran (Islamic Republic of),2012,65+,male,0.4489145
Central and Southern Asia,Iran (Islamic Republic of),2013,<15,female,0.7975584
Central and Southern Asia,Iran (Islamic Republic of),2013,<15,male,0.8954248
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,female,0.9743798
Central and Southern Asia,Iran (Islamic Republic of),2013,15-24,male,0.9810902
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,female,0.8041681
Central and Southern Asia,Iran (Islamic Republic of),2013,25-64,male,0.9125407
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,female,0.2246233
Central and Southern Asia,Iran (Islamic Republic of),2013,65+,male,0.4660938
Central and Southern Asia,Iran (Islamic Republic of),2014,<15,female,0.7983935
Central and Southern Asia,Iran (Islamic Republic of),2014,<15,male,0.8963542
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,female,0.9767817
Central and Southern Asia,Iran (Islamic Republic of),2014,15-24,male,0.9819154
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,female,0.8084387
Central and Southern Asia,Iran (Islamic Republic of),2014,25-64,male,0.9140845
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,female,0.22445
Central and Southern Asia,Iran (Islamic Republic of),2014,65+,male,0.4697359
Central and Southern Asia,Iran (Islamic Republic of),2016,<15,female,0.8078744
Central and Southern Asia,Iran (Islamic Republic of),2016,<15,male,0.9035241
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,female,0.9792513
Central and Southern Asia,Iran (Islamic Republic of),2016,15-24,male,0.9826797
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,female,0.8259801
Central and Southern Asia,Iran (Islamic Republic of),2016,25-64,male,0.9226007
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,female,0.2488208
Central and Southern Asia,Iran (Islamic Republic of),2016,65+,male,0.4994369
Central and Southern Asia,Kazakhstan,2010,<15,female,0.9973899
Central and Southern Asia,Kazakhstan,2010,<15,male,0.9982968
Central and Southern Asia,Kazakhstan,2010,15-24,female,0.9985091
Central and Southern Asia,Kazakhstan,2010,15-24,male,0.9994014
Central and Southern Asia,Kazakhstan,2010,25-64,female,0.9974727
Central and Southern Asia,Kazakhstan,2010,25-64,male,0.9983287
Central and Southern Asia,Kazakhstan,2010,65+,female,0.9952126
Central and Southern Asia,Kazakhstan,2010,65+,male,0.9944912
Central and Southern Asia,Kyrgyzstan,2018,<15,female,0.9949972
Central and Southern Asia,Kyrgyzstan,2018,<15,male,0.9967701
Central and Southern Asia,Kyrgyzstan,2018,15-24,female,0.9981
Central and Southern Asia,Kyrgyzstan,2018,15-24,male,0.9969
Central and Southern Asia,Kyrgyzstan,2018,25-64,female,0.9978392
Central and Southern Asia,Kyrgyzstan,2018,25-64,male,0.9974627
Central and Southern Asia,Kyrgyzstan,2018,65+,female,0.9616295
Central and Southern Asia,Kyrgyzstan,2018,65+,male,0.987103
Central and Southern Asia,Maldives,2014,<15,female,0.9869167
Central and Southern Asia,Maldives,2014,<15,male,0.9852034
Central and Southern Asia,Maldives,2014,15-24,female,0.9943955
Central and Southern Asia,Maldives,2014,15-24,male,0.9908133
Central and Southern Asia,Maldives,2014,25-64,F,0.9901342
Central and Southern Asia,Maldives,2014,25-64,male,0.9890561
Central and Southern Asia,Maldives,2014,25-64,male,0.9890561
Central and Southern Asia,Maldives,2014,65+,female,0.921363
Central and Southern Asia,Maldives,2014,65+,male,0.9331756
Central and Southern Asia,Maldives,2016,<15,female,0.9811471
Central and Southern Asia,Maldives,2016,<15,male,0.9729893
Central and Southern Asia,Maldives,2016,15-24,female,0.9908863
Central and Southern Asia,Maldives,2016,15-24,male,0.9839115
Central and Southern Asia,Maldives,2016,25-64,female,0.9857746
Central and Southern Asia,Maldives,2016,25-64,male,0.9763757
Central and Southern Asia,Maldives,2016,65+,female,0.8909256
Central and Southern Asia,Maldives,2016,65+,male,0.912063
Central and Southern Asia,Nepal,2011,<15,female,0.4883759
Central and Southern Asia,Nepal,2011,<15,male,0.7170838
Central and Southern Asia,Nepal,2011,15-24,female,0.8020683
Central and Southern Asia,Nepal,2011,15-24,male,0.8988402
Central and Southern Asia,Nepal,2011,25-64,female,0.3849667
Central and Southern Asia,Nepal,2011,25-64,male,0.6764494
Central and Southern Asia,Nepal,2011,65+,female,0.0602554
Central and Southern Asia,Nepal,2011,65+,male,0.3563504
Central and Southern Asia,Nepal,2018,<15,female,0.5972443
Central and Southern Asia,Nepal,2018,<15,male,0.7859134
Central and Southern Asia,Nepal,2018,15-24,female,0.9088347
Central and Southern Asia,Nepal,2018,15-24,male,0.9403428
Central and Southern Asia,Nepal,2018,25-64,female,0.513455
Central and Southern Asia,Nepal,2018,25-64,male,0.7444488
Central and Southern Asia,Nepal,2018,65+,female,0.0865249
Central and Southern Asia,Nepal,2018,65+,male,0.4150309
Central and Southern Asia,Pakistan,2010,<15,female,0.4101553
Central and Southern Asia,Pakistan,2010,<15,male,0.6890061
Central and Southern Asia,Pakistan,2010,15-24,female,0.6229837
Central and Southern Asia,Pakistan,2010,15-24,male,0.7950414
Central and Southern Asia,Pakistan,2010,25-64,female,0.3098942
Central and Southern Asia,Pakistan,2010,25-64,male,0.6610507
Central and Southern Asia,Pakistan,2010,65+,female,0.2375533
Central and Southern Asia,Pakistan,2010,65+,male,0.3577518
Central and Southern Asia,Pakistan,2011,<15,female,0.4197539
Central and Southern Asia,Pakistan,2011,<15,male,0.6699114
Central and Southern Asia,Pakistan,2011,15-24,female,0.6313681
Central and Southern Asia,Pakistan,2011,15-24,male,0.7804242
Central and Southern Asia,Pakistan,2011,25-64,female,0.3191161
Central and Southern Asia,Pakistan,2011,25-64,male,0.6411115
Central and Southern Asia,Pakistan,2011,65+,female,0.0988372
Central and Southern Asia,Pakistan,2011,65+,male,0.3372525
Central and Southern Asia,Pakistan,2012,<15,female,0.4307189
Central and Southern Asia,Pakistan,2012,<15,male,0.6985822
Central and Southern Asia,Pakistan,2012,15-24,female,0.644741
Central and Southern Asia,Pakistan,2012,15-24,male,0.8028826
Central and Southern Asia,Pakistan,2012,25-64,female,0.3266763
Central and Southern Asia,Pakistan,2012,25-64,male,0.6706964
Central and Southern Asia,Pakistan,2012,65+,female,0.0948671
Central and Southern Asia,Pakistan,2012,65+,male,0.3680466
Central and Southern Asia,Pakistan,2013,<15,female,0.4197494
Central and Southern Asia,Pakistan,2013,<15,male,0.6862934
Central and Southern Asia,Pakistan,2013,15-24,female,0.63438
Central and Southern Asia,Pakistan,2013,15-24,male,0.7940381
Central and Southern Asia,Pakistan,2013,25-64,female,0.3170222
Central and Southern Asia,Pakistan,2013,25-64,male,0.6578542
Central and Southern Asia,Pakistan,2013,65+,female,0.091318
Central and Southern Asia,Pakistan,2013,65+,male,0.3531457
Central and Southern Asia,Pakistan,2014,<15,female,0.4428342
Central and Southern Asia,Pakistan,2014,<15,male,0.6906681
Central and Southern Asia,Pakistan,2014,15-24,female,0.6554779
Central and Southern Asia,Pakistan,2014,15-24,male,0.7976598
Central and Southern Asia,Pakistan,2014,25-64,female,0.3377221
Central and Southern Asia,Pakistan,2014,25-64,male,0.6624577
Central and Southern Asia,Pakistan,2014,65+,female,0.0996258
Central and Southern Asia,Pakistan,2014,65+,male,0.3570521
Central and Southern Asia,Pakistan,2017,<15,female,0.4646767
Central and Southern Asia,Pakistan,2017,<15,male,0.71116
Central and Southern Asia,Pakistan,2017,15-24,female,0.6753713
Central and Southern Asia,Pakistan,2017,15-24,M,0.8126352
Central and Southern Asia,Pakistan,2017,25-64,female,0.3573592
Central and Southern Asia,Pakistan,2017,25-64,male,0.6838682
Central and Southern Asia,Pakistan,2017,65+,female,0.1067683
Central and Southern Asia,Pakistan,2017,65+,male,0.3814394
Central and Southern Asia,Sri Lanka,2010,<15,female,0.8995868
Central and Southern Asia,Sri Lanka,2010,<15,male,0.9257847
Central and Southern Asia,Sri Lanka,2010,15-24,female,0.9858897
Central and Southern Asia,Sri Lanka,2010,15-24,male,0.9768654
Central and Southern Asia,Sri Lanka,2010,25-64,female,0.9076137
Central and Southern Asia,Sri Lanka,2010,25-64,male,0.9213229
Central and Southern Asia,Sri Lanka,2010,65+,female,0.6979488
Central and Southern Asia,Sri Lanka,2010,65+,male,0.8519763
Central and Southern Asia,Sri Lanka,2016,<15,female,0.9148611
Central and Southern Asia,Sri Lanka,2016,<15,male,0.9345589
Central and Southern Asia,Sri Lanka,2016,15-24,female,0.9894489
Central and Southern Asia,Sri Lanka,2016,15-24,male,0.9841123
Central and Southern Asia,Sri Lanka,2016,25-64,female,0.9273122
Central and Southern Asia,Sri Lanka,2016,25-64,male,0.9335104
Central and Southern Asia,Sri Lanka,2016,65+,female,0.7631018
Central and Southern Asia,Sri Lanka,2016,65+,male,0.8683014
Central and Southern Asia,Sri Lanka,2017,<15,female,0.9097074
Central and Southern Asia,Sri Lanka,2017,<15,male,0.9298055
Central and Southern Asia,Sri Lanka,2017,15-24,female,0.9914777
Central and Southern Asia,Sri Lanka,2017,15-24,male,0.9854505
Central and Southern Asia,Sri Lanka,2017,25-64,female,0.9213981
Central and Southern Asia,Sri Lanka,2017,25-64,male,0.926704
Central and Southern Asia,Sri Lanka,2017,65+,female,0.7544447
Central and Southern Asia,Sri Lanka,2017,65+,male,0.864462
Central and Southern Asia,Tajikistan,2014,<15,female,0.997
Central and Southern Asia,Tajikistan,2014,<15,male,0.9982
Central and Southern Asia,Tajikistan,2014,15-24,female,0.999
Central and Southern Asia,Tajikistan,2014,15-24,male,0.9986
Central and Southern Asia,Tajikistan,2014,25-64,female,0.998
Central and Southern Asia,Tajikistan,2014,25-64,male,0.9985
Central and Southern Asia,Tajikistan,2014,65+,female,0.971
Central and Southern Asia,Tajikistan,2014,65+,male,0.992
Central and Southern Asia,Turkmenistan,2014,<15,female,0.996
Central and Southern Asia,Turkmenistan,2014,<15,male,0.9975
Central and Southern Asia,Turkmenistan,2014,15-24,female,0.999
Central and Southern Asia,Turkmenistan,2014,15-24,male,0.9977
Central and Southern Asia,Turkmenistan,2014,25-64,female,0.998
Central and Southern Asia,Turkmenistan,2014,25-64,male,0.9981
Central and Southern Asia,Turkmenistan,2014,65+,female,0.968
Central and Southern Asia,Turkmenistan,2014,65+,male,0.9887
Central and Southern Asia,Uzbekistan,2013,<15,female,0.9999587
Central and Southern Asia,Uzbekistan,2013,<15,male,0.9999383
Central and Southern Asia,Uzbekistan,2013,15-24,female,1
Central and Southern Asia,Uzbekistan,2013,15-24,male,1
Central and Southern Asia,Uzbekistan,2013,25-64,female,1
Central and Southern Asia,Uzbekistan,2013,25-64,male,1
Central and Southern Asia,Uzbekistan,2013,65+,female,0.9993467
Central and Southern Asia,Uzbekistan,2013,65+,male,0.9987719
Central and Southern Asia,Uzbekistan,2014,<15,female,0.9997599
Central and Southern Asia,Uzbekistan,2014,<15,male,0.9998519
Central and Southern Asia,Uzbekistan,2014,15-24,female,1
Central and Southern Asia,Uzbekistan,2014,15-24,male,1
Central and Southern Asia,Uzbekistan,2014,25-64,female,1
Central and Southern Asia,Uzbekistan,2014,25-64,male,1
Central and Southern Asia,Uzbekistan,2014,65+,female,0.9962151
Central and Southern Asia,Uzbekistan,2014,65+,male,0.9970674
Central and Southern Asia,Uzbekistan,2015,<15,female,0.9997577
Central and Southern Asia,Uzbekistan,2015,<15,male,0.9999204
Central and Southern Asia,Uzbekistan,2015,15-24,female,1
Central and Southern Asia,Uzbekistan,2015,15-24,male,1
Central and Southern Asia,Uzbekistan,2015,25-64,female,1
Central and Southern Asia,Uzbekistan,2015,25-64,male,1
Central and Southern Asia,Uzbekistan,2015,65+,female,0.996261
Central and Southern Asia,Uzbekistan,2015,65+,male,0.9984595
Central and Southern Asia,Uzbekistan,2016,<15,female,0.9997841
Central and Southern Asia,Uzbekistan,2016,<15,male,0.9999487
Central and Southern Asia,Uzbekistan,2016,15-24,female,1
Central and Southern Asia,Uzbekistan,2016,15-24,male,1
Central and Southern Asia,Uzbekistan,2016,25-64,female,1
Central and Southern Asia,Uzbekistan,2016,25-64,male,1
,Uzbekistan,2016,65+,female,0.9966975
,Uzbekistan,2016,65+,male,0.9990176
Eastern and South-Eastern Asia,Brunei Darussalam,2011,<15,female,0.9465248
Eastern and South-Eastern Asia,Brunei Darussalam,2011,<15,male,0.9742816
Eastern and South-Eastern Asia,Brunei Darussalam,2011,15-24,female,0.9954606
Eastern and South-Eastern Asia,Brunei Darussalam,2011,15-24,male,0.9919989
Eastern and South-Eastern Asia,Brunei Darussalam,2011,25-64,female,0.965837
Eastern and South-Eastern Asia,Brunei Darussalam,2011,25-64,male,0.9783945
Eastern and South-Eastern Asia,Brunei Darussalam,2011,65+,female,0.4375523
Eastern and South-Eastern Asia,Brunei Darussalam,2011,65+,male,0.8081864
Eastern and South-Eastern Asia,Brunei Darussalam,2018,<15,female,0.9630126
Eastern and South-Eastern Asia,Brunei Darussalam,2018,<15,male,0.9805362
Eastern and South-Eastern Asia,Brunei Darussalam,2018,15-24,female,0.9978966
Eastern and South-Eastern Asia,Brunei Darussalam,2018,15-24,male,0.9963516
Eastern and South-Eastern Asia,Brunei Darussalam,2018,25-64,female,0.980621
Eastern and South-Eastern Asia,Brunei Darussalam,2018,25-64,male,0.9822334
Eastern and South-Eastern Asia,Brunei Darussalam,2018,65+,female,0.6677024
Eastern and South-Eastern Asia,Brunei Darussalam,2018,65+,male,0.903043
Eastern and South-Eastern Asia,Cambodia,2014,<15,female,0.717818
Eastern and South-Eastern Asia,Cambodia,2014,<15,male,0.8481415
Eastern and South-Eastern Asia,Cambodia,2014,15-24,female,0.9037226
Eastern and South-Eastern Asia,Cambodia,2014,15-24,male,0.8992461
Eastern and South-Eastern Asia,Cambodia,2014,25-64,female,0.6816519
Eastern and South-Eastern Asia,Cambodia,2014,25-64,male,0.8304248
Eastern and South-Eastern Asia,Cambodia,2014,65+,female,0.2841379
Eastern and South-Eastern Asia,Cambodia,2014,65+,male,0.730549
Eastern and South-Eastern Asia,Cambodia,2015,<15,female,0.7503387
Eastern and South-Eastern Asia,Cambodia,2015,<15,male,0.8653244
Eastern and South-Eastern Asia,Cambodia,2015,15-24,female,0.9257328
Eastern and South-Eastern Asia,Cambodia,2015,15-24,male,0.9186412
Eastern and South-Eastern Asia,Cambodia,2015,25-64,female,0.7191506
Eastern and South-Eastern Asia,Cambodia,2015,25-64,male,0.8465119
Eastern and South-Eastern Asia,Cambodia,2015,65+,female,0.3685877
Eastern and South-Eastern Asia,Cambodia,2015,65+,male,0.7689028
Eastern and South-Eastern Asia,China,2010,<15,female,0.9271123
Eastern and South-Eastern Asia,China,2010,<15,female,0.9271123
Eastern and South-Eastern Asia,China,2010,<15,male,0.9747946
Eastern and South-Eastern Asia,China,2010,15-24,female,0.9959304
Eastern and South-Eastern Asia,China,2010,15-24,M,0.9968962
Eastern and South-Eastern Asia,China,2010,25-64,female,0.956095
Eastern and South-Eastern Asia,China,2010,25-64,male,0.9849897
Eastern and South-Eastern Asia,China,2010,65+,female,0.6264322
Eastern and South-Eastern Asia,China,2010,65+,male,0.8606095
Eastern and South-Eastern Asia,China,2018,<15,female,0.9515933
Eastern and South-Eastern Asia,China,2018,<15,male,0.9846654
Eastern and South-Eastern Asia,China,2018,15-24,female,0.9978338
Eastern and South-Eastern Asia,China,2018,15-24,male,0.9978379
Eastern and South-Eastern Asia,China,2018,25-64,female,0.9769209
Eastern and South-Eastern Asia,China,2018,25-64,male,0.9914399
Eastern and South-Eastern Asia,China,2018,65+,female,0.7796914
Eastern and South-Eastern Asia,China,2018,65+,male,0.9282899
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,<15,female,0.9373191
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,<15,male,0.9775129
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,15-24,female,0.9969008
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,15-24,male,0.9965497
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,25-64,female,0.9621939
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,25-64,male,0.9821971
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,65+,female,0.5973218
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2011,65+,male,0.8847441
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,<15,female,0.9503257
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,<15,male,0.9818592
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,15-24,female,0.9986617
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,15-24,male,0.9972689
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,25-64,female,0.9728182
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,25-64,male,0.9882016
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,65+,female,0.720624
Eastern and South-Eastern Asia,"China, Macao Special Administrative Region",2016,65+,male,0.9132673
Eastern and South-Eastern Asia,Indonesia,2011,<15,female,0.900687
Eastern and South-Eastern Asia,Indonesia,2011,<15,male,0.9559109
Eastern and South-Eastern Asia,Indonesia,2011,15-24,female,0.987518
Eastern and South-Eastern Asia,Indonesia,2011,15-24,male,0.9880384
Eastern and South-Eastern Asia,Indonesia,2011,25-64,female,0.9134358
Eastern and South-Eastern Asia,Indonesia,2011,25-64,male,0.9597388
Eastern and South-Eastern Asia,Indonesia,2011,65+,female,0.5210839
Eastern and South-Eastern Asia,Indonesia,2011,65+,male,0.7926775
Eastern and South-Eastern Asia,Indonesia,2014,<15,female,0.934509
Eastern and South-Eastern Asia,Indonesia,2014,<15,male,0.9679101
Eastern and South-Eastern Asia,Indonesia,2014,15-24,female,0.9967883
Eastern and South-Eastern Asia,Indonesia,2014,15-24,male,0.9968156
Eastern and South-Eastern Asia,Indonesia,2014,25-64,female,0.9432201
Eastern and South-Eastern Asia,Indonesia,2014,25-64,male,0.9761209
Eastern and South-Eastern Asia,Indonesia,2014,65+,female,0.6779959
Eastern and South-Eastern Asia,Indonesia,2014,65+,male,0.7680862
Eastern and South-Eastern Asia,Indonesia,2015,<15,female,0.9333571
Eastern and South-Eastern Asia,Indonesia,2015,<15,male,0.9710652
Eastern and South-Eastern Asia,Indonesia,2015,15-24,female,0.9963702
Eastern and South-Eastern Asia,Indonesia,2015,15-24,male,0.9970176
Eastern and South-Eastern Asia,Indonesia,2015,25-64,female,0.9526534
Eastern and South-Eastern Asia,Indonesia,2015,25-64,male,0.9768454
Eastern and South-Eastern Asia,Indonesia,2015,65+,female,0.5885918
Eastern and South-Eastern Asia,Indonesia,2015,65+,male,0.8174557
Eastern and South-Eastern Asia,Indonesia,2016,<15,female,0.9358692
Eastern and South-Eastern Asia,Indonesia,2016,<15,male,0.9717444
Eastern and South-Eastern Asia,Indonesia,2016,15-24,female,0.9965351
Eastern and South-Eastern Asia,Indonesia,2016,15-24,male,0.9968345
Eastern and South-Eastern Asia,Indonesia,2016,25-64,female,0.9557162
Eastern and South-Eastern Asia,Indonesia,2016,25-64,male,0.978213
Eastern and South-Eastern Asia,Indonesia,2016,65+,female,0.6020163
Eastern and South-Eastern Asia,Indonesia,2016,65+,male,0.8194725
Eastern and South-Eastern Asia,Indonesia,2018,<15,female,0.9399218
Eastern and South-Eastern Asia,Indonesia,2018,<15,male,0.9733134
Eastern and South-Eastern Asia,Indonesia,2018,15-24,female,0.9969625
Eastern and South-Eastern Asia,Indonesia,2018,15-24,male,0.9971748
Eastern and South-Eastern Asia,Indonesia,2018,25-64,female,0.9565632
Eastern and South-Eastern Asia,Indonesia,2018,25-64,male,0.9787111
Eastern and South-Eastern Asia,Indonesia,2018,65+,female,0.6559053
Eastern and South-Eastern Asia,Indonesia,2018,65+,male,0.8460673
Eastern and South-Eastern Asia,Lao People's Democratic Republic,2011,<15,female,0.4972308
Eastern and South-Eastern Asia,Lao People's Democratic Republic,2011,<15,male,0.6735858
Eastern and South-Eastern Asia,Lao People's Democratic Republic,2011,15-24,female,0.6705378
Eastern and South-Eastern Asia,Lao People's Democratic Republic,2011,15-24,male,0.7727267
Eastern and South-Eastern Asia,Lao People's Democratic Republic,2011,25-64,female,0.4611725
Eastern and South-Eastern Asia,Lao People's Democratic Republic,2011,25-64,male,0.6548057
